HomeELO,AwayELO,FTHG,FTAG,PSH,PSD,PSA,MaxH,MaxD,MaxA,P>2.5,P<2.5,Max>2.5,Max<2.5,AHh,PAHH,PAHA,MaxAHH,MaxAHA
1453.502808,1577.60144,1,1,2.76,3.74,2.48,2.82,3.78,2.5,1.59,2.44,1.65,2.44,0,2.06,1.84,2.1,1.88
1383.213135,1407.98877,1,1,2.06,3.77,3.46,2.1,3.9,3.54,1.68,2.24,1.74,2.26,-0.5,2.06,1.83,2.08,1.87
1391.765747,1342.034546,2,0,1.8,3.8,4.5,1.83,3.88,4.53,1.83,2.04,1.85,2.07,-0.75,2.05,1.83,2.08,1.88
1429.448364,1445.627441,0,3,2.29,3.52,3.14,2.42,3.59,3.14,1.8,2.05,1.88,2.06,-0.25,1.98,1.89,2.06,1.91
1481.409424,1524.366089,3,2,2.85,3.5,2.49,2.86,3.64,2.5,1.76,2.1,1.79,2.18,0,2.08,1.81,2.08,1.89
1634.690674,1396.982056,2,2,1.19,7.06,14.84,1.22,7.5,15,1.48,2.66,1.52,2.7,-2,2.03,1.83,2.09,1.87
1535.467041,1342.034546,1,3,1.57,4.31,5.65,1.64,4.55,6.63,1.81,2.04,1.83,2.2,-1,2.04,1.83,2.13,2.09
1400.579102,1546.254761,2,1,4.62,3.95,1.75,4.75,3.99,1.78,1.79,2.07,1.85,2.13,0.75,1.91,1.96,1.94,2
1386.084473,1350.420898,0,1,2.33,3.4,3.16,2.36,3.6,3.2,1.86,1.99,1.87,2.07,-0.25,2.01,1.87,2.03,1.92
1575.093506,1414.094849,3,4,1.59,4.23,5.85,1.61,4.5,6.5,1.59,2.45,1.59,2.57,-1,1.96,1.93,2.02,1.98
1460.500488,1410.949829,0,0,2.04,3.7,3.58,2.09,3.75,3.6,1.84,2.02,1.97,2.06,-0.5,2.04,1.84,2.11,1.86
1360.739258,1382.417603,1,1,2.38,3.78,2.82,2.4,3.84,3,1.71,2.18,1.77,2.2,-0.25,2.08,1.81,2.08,1.9
1333.812988,1489.082397,1,0,3.57,4.02,1.95,3.7,4.08,2,1.74,2.14,1.8,2.23,0.5,1.92,1.95,1.96,2
1403.434448,1515.810791,1,1,3.58,3.47,2.12,3.91,3.75,2.14,1.83,2.03,1.88,2.07,0.25,2.06,1.83,2.08,1.89
1361.210327,1627.75769,0,1,5.12,3.63,1.75,5.4,4,1.78,1.71,2.18,1.72,2.35,0.75,1.92,1.95,1.95,2.03
1408.303833,1455.530273,1,2,3.26,3.36,2.3,3.3,3.6,2.36,1.68,2.24,1.75,2.33,0.25,1.9,1.97,1.92,2.03
